id,label,type,name,source,source_id,uri,modifiers
398ff901-26b9-48c3-ad6b-02e06a88b736,KeyEvent,key-event,Impaired ovulation,AOPWiki,,,[]
3994f85b-d03e-4879-a2cb-054519416e6b,BiologicalTerm,biological-object,CNS neuron (sensu Vertebrata),CL,CL:0000117,,[]
39a89cc1-f218-4a9e-9653-e62d06ee2ddb,Chemical,chemical,Interleukin-6,DSSTox,DTXSID6041050,,"[""stressor""]"
39a9726a-2245-444d-a54b-9d474c097cd8,Chemical,chemical,Ozone,DSSTox,DTXSID0021098,,"[""stressor""]"
39aadaca-1c53-4bbb-a5ba-f564139323be,AOP,aop,Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,AOPWiki,,,[]
39b115ed-3369-4a76-b238-a184cb83e43b,BiologicalTerm,biological-object,vesicle membrane,GO,GO:0012506,,[]
39b9c5f6-95d6-4217-8ee1-44962f9de5e2,KeyEvent,key-event,"Neuronal network function, Decreased",AOPWiki,,,[]
39c2120d-4809-43d4-937d-bd3ab949fb19,BiologicalTerm,biological-process,DNA hypermethylation,GO,GO:0044026,,[]
39cf5d32-742d-4c0f-9f7a-002083d6b259,Taxon,taxonomy,guinea pig,NCBI,10141,,[]
39e180ce-c413-496a-8432-8f2475d73f65,Taxon,taxonomy,Aegypius monachus,common ecological species,WCS_8959,,[]
3a0560cf-f555-4620-9695-b95f1578577c,Stressor,stressor,Platinum,,,,"[""stressor""]"
3a145310-9ebb-4151-a9d3-0eb1b1e2bc65,BiologicalTerm,biological-object,"carnitine O-palmitoyltransferase 1, liver isoform",PR,PR:000005835,,[]
3a1b08c9-165c-4b48-97f8-811a987d7159,KeyEvent,key-event,"Induced, Angiotensin (Ang) II accumulation",AOPWiki,,,[]
3a1c763c-4ff0-4791-9d70-e97db2355b7e,AOP,aop,TPOi photoreceptor patterning,AOPWiki,,,[]
3a1f174a-f48a-47e7-b3b7-0e090c9ffc48,AOP,aop,Pentachlorophenol Acute Response by Percellome,AOPWiki,,,[]
3a33a6b3-78ca-4359-a605-391d8a86f4aa,KeyEvent,key-event,Recruitment of inflammatory cells,AOPWiki,,,[]
3a383150-1ca1-4901-bb14-32a2f451fc58,Chemical,chemical,Methoxyacetic acid,DSSTox,DTXSID1031591,,"[""stressor""]"
3a38f477-b0ff-475a-82db-e6e20f42690a,Chemical,chemical,Chlorotoluron,DSSTox,DTXSID8052853,,"[""stressor""]"
3a83c467-4be9-48aa-80dc-dd34bb5b9e51,BiologicalTerm,biological-object,vitamin K,CHEBI,CHEBI:28384,,[]
3a8f1a24-4558-4bf7-bb62-253450904a55,Taxon,taxonomy,Phaeodactylum tricornutum,NCBI,2850,,[]
3a9fbcd6-7c33-40e8-8d0c-4e7a303806f4,Taxon,taxonomy,Insecta sp. BOLD:AAN5199,NCBI,1186497,,[]
3aa162a8-60ae-4db9-be51-1869354cd8c8,Chemical,chemical,Cadmium,DSSTox,DTXSID1023940,,"[""stressor""]"
3ab03eb1-c3a2-46c8-aba9-5656ca60260e,AOP,aop,Immunosuppression,AOPWiki,,,[]
3abb29b5-f086-42be-83cd-d69b510a5980,Chemical,chemical,Carboplatin,DSSTox,DTXSID3046742,,"[""stressor""]"
3abb6270-0e59-4159-b024-471c6885dd44,BiologicalTerm,biological-object,3-hydroxy-3-methylglutaryl-coenzyme A reductase,PR,PR:000008636,,[]
3ad66684-deff-4428-9146-b4f12cee450e,AOP,aop,From hERG blockade to death,AOPWiki,,,[]
3ae5733b-f378-4dcb-b0e8-f5ee5a23b74e,BiologicalTerm,biological-process,proteasome complex disassembly,GO,GO:1903009,,[]
